site,sampling dates,CHU,20,50,100,150,200,250,250s,LSD,F test
st-louis,6 July 2004,976,1.43,1.24,1.54,1.46,1.44,1.32,1.57,0.20,§
st-louis,13 July 2004,1149,1.52,1.75,1.67,1.57,1.77,1.49,1.92,0.33,NS¶
st-louis,20 July 2004,1334,4.84,5.51,5.01,5.04,5.16,5.44,5.86,0.50,*
st-louis,27 July 2004,1494,6.71,7.58,7.89,7.23,7.42,7.93,8.07,0.93,NS
st-louis,2 August 2004,1656,8.59,9.67,9.72,9.58,10.30,9.76,11.38,1.05,*
st-louis,9 August 2004,1802,9.77,10.18,12.07,11.25,11.95,11.66,11.70,1.01,**
st-louis,6 July 2005,1034,1.26,1.38,1.32,1.52,1.50,1.34,1.49,0.26,NS
st-louis,13 July 2005,1206,2.82,2.36,2.91,3.12,3.24,2.94,3.69,0.81,NS
st-louis,20 July 2005,1410,3.83,4.52,5.27,5.23,5.07,5.67,5.89,0.74,**
st-louis,27 July 2005,1579,5.60,6.13,6.88,7.89,7.41,7.75,7.33,0.97,**
